VALUE,long,lat
565.00000000,37.250,50.583
565.00000000,37.417,50.583
560.00000000,37.583,50.583
631.00000000,23.583,50.417
628.00000000,23.750,50.417
634.00000000,23.917,50.417
641.00000000,24.083,50.417
643.00000000,24.250,50.417
648.00000000,24.417,50.417
647.00000000,24.583,50.417
641.00000000,24.750,50.417
637.00000000,24.917,50.417
632.00000000,25.083,50.417
625.00000000,25.250,50.417
617.00000000,25.417,50.417
615.00000000,25.583,50.417
609.00000000,25.750,50.417
616.00000000,25.917,50.417
614.00000000,26.083,50.417
616.00000000,26.250,50.417
625.00000000,26.417,50.417
629.00000000,26.583,50.417
646.00000000,26.750,50.417
654.00000000,26.917,50.417
659.00000000,27.083,50.417
660.00000000,27.250,50.417
655.00000000,27.417,50.417
649.00000000,27.583,50.417
645.00000000,27.750,50.417
636.00000000,27.917,50.417
631.00000000,28.083,50.417
624.00000000,28.250,50.417
615.00000000,28.417,50.417
612.00000000,28.583,50.417
616.00000000,28.750,50.417
617.00000000,28.917,50.417
619.00000000,29.083,50.417
621.00000000,29.250,50.417
620.00000000,29.417,50.417
622.00000000,29.583,50.417
621.00000000,29.750,50.417
618.00000000,29.917,50.417
612.00000000,30.083,50.417
611.00000000,30.250,50.417
616.00000000,30.417,50.417
598.00000000,30.583,50.417
588.00000000,30.750,50.417
574.00000000,30.917,50.417
562.00000000,31.083,50.417
552.00000000,31.250,50.417
549.00000000,31.417,50.417
555.00000000,31.583,50.417
558.00000000,31.750,50.417
563.00000000,31.917,50.417
574.00000000,32.083,50.417
583.00000000,32.250,50.417
587.00000000,32.417,50.417
593.00000000,32.583,50.417
595.00000000,32.750,50.417
596.00000000,32.917,50.417
588.00000000,33.083,50.417
577.00000000,33.250,50.417
578.00000000,33.417,50.417
594.00000000,33.583,50.417
600.00000000,33.750,50.417
607.00000000,33.917,50.417
595.00000000,34.083,50.417
591.00000000,34.250,50.417
586.00000000,34.417,50.417
587.00000000,34.583,50.417
591.00000000,34.750,50.417
587.00000000,34.917,50.417
584.00000000,35.083,50.417
580.00000000,35.250,50.417
582.00000000,35.417,50.417
586.00000000,35.583,50.417
598.00000000,35.750,50.417
614.00000000,35.917,50.417
632.00000000,36.083,50.417
636.00000000,36.250,50.417
613.00000000,36.417,50.417
590.00000000,36.583,50.417
576.00000000,36.750,50.417
566.00000000,36.917,50.417
562.00000000,37.083,50.417
560.00000000,37.250,50.417
560.00000000,37.417,50.417
556.00000000,37.583,50.417
553.00000000,37.750,50.417
629.00000000,23.250,50.250
658.00000000,23.417,50.250
651.00000000,23.583,50.250
644.00000000,23.750,50.250
647.00000000,23.917,50.250
651.00000000,24.083,50.250
651.00000000,24.250,50.250
652.00000000,24.417,50.250
655.00000000,24.583,50.250
651.00000000,24.750,50.250
650.00000000,24.917,50.250
646.00000000,25.083,50.250
641.00000000,25.250,50.250
638.00000000,25.417,50.250
629.00000000,25.583,50.250
624.00000000,25.750,50.250
630.00000000,25.917,50.250
627.00000000,26.083,50.250
627.00000000,26.250,50.250
629.00000000,26.417,50.250
638.00000000,26.583,50.250
651.00000000,26.750,50.250
666.00000000,26.917,50.250
676.00000000,27.083,50.250
671.00000000,27.250,50.250
665.00000000,27.417,50.250
656.00000000,27.583,50.250
647.00000000,27.750,50.250
642.00000000,27.917,50.250
634.00000000,28.083,50.250
625.00000000,28.250,50.250
619.00000000,28.417,50.250
614.00000000,28.583,50.250
616.00000000,28.750,50.250
615.00000000,28.917,50.250
620.00000000,29.083,50.250
619.00000000,29.250,50.250
616.00000000,29.417,50.250
618.00000000,29.583,50.250
615.00000000,29.750,50.250
609.00000000,29.917,50.250
603.00000000,30.083,50.250
605.00000000,30.250,50.250
600.00000000,30.417,50.250
586.00000000,30.583,50.250
572.00000000,30.750,50.250
567.00000000,30.917,50.250
556.00000000,31.083,50.250
542.00000000,31.250,50.250
537.00000000,31.417,50.250
543.00000000,31.583,50.250
544.00000000,31.750,50.250
553.00000000,31.917,50.250
562.00000000,32.083,50.250
570.00000000,32.250,50.250
573.00000000,32.417,50.250
580.00000000,32.583,50.250
590.00000000,32.750,50.250
593.00000000,32.917,50.250
591.00000000,33.083,50.250
575.00000000,33.250,50.250
572.00000000,33.417,50.250
582.00000000,33.583,50.250
585.00000000,33.750,50.250
587.00000000,33.917,50.250
588.00000000,34.083,50.250
586.00000000,34.250,50.250
580.00000000,34.417,50.250
579.00000000,34.583,50.250
577.00000000,34.750,50.250
579.00000000,34.917,50.250
581.00000000,35.083,50.250
579.00000000,35.250,50.250
572.00000000,35.417,50.250
573.00000000,35.583,50.250
585.00000000,35.750,50.250
598.00000000,35.917,50.250
620.00000000,36.083,50.250
629.00000000,36.250,50.250
602.00000000,36.417,50.250
585.00000000,36.583,50.250
570.00000000,36.750,50.250
558.00000000,36.917,50.250
557.00000000,37.083,50.250
557.00000000,37.250,50.250
557.00000000,37.417,50.250
553.00000000,37.583,50.250
555.00000000,37.750,50.250
555.00000000,38.083,50.250
552.00000000,38.250,50.250
547.00000000,38.417,50.250
622.00000000,23.083,50.083
639.00000000,23.250,50.083
657.00000000,23.417,50.083
683.00000000,23.583,50.083
670.00000000,23.750,50.083
664.00000000,23.917,50.083
662.00000000,24.083,50.083
661.00000000,24.250,50.083
661.00000000,24.417,50.083
660.00000000,24.583,50.083
659.00000000,24.750,50.083
