VALUE,long,lat
7.31096888,24.083,50.5833333333334
7.42010403,24.250,50.5833333333334
7.33685398,24.417,50.5833333333334
7.27660418,24.583,50.5833333333334
7.24114609,24.750,50.5833333333334
7.26948977,24.917,50.5833333333334
7.36971855,25.083,50.5833333333334
7.53658342,25.250,50.5833333333334
7.69673967,25.417,50.5833333333334
7.68826056,25.583,50.5833333333334
7.67421865,25.750,50.5833333333334
7.66041660,25.917,50.5833333333334
7.46633339,26.083,50.5833333333334
7.54645824,26.250,50.5833333333334
7.29689550,26.417,50.5833333333334
7.36700010,26.583,50.5833333333334
7.17888546,26.750,50.5833333333334
7.00341654,26.917,50.5833333333334
6.93256235,27.083,50.5833333333334
6.81055212,27.250,50.5833333333334
6.64983320,27.417,50.5833333333334
6.59019804,27.583,50.5833333333334
6.48289585,27.750,50.5833333333334
6.46634388,27.917,50.5833333333334
6.48068762,28.083,50.5833333333334
6.51002073,28.250,50.5833333333334
6.66247892,28.417,50.5833333333334
6.74827099,28.583,50.5833333333334
6.81066656,28.750,50.5833333333334
6.81780195,28.917,50.5833333333334
6.87582254,29.083,50.5833333333334
6.92421865,29.250,50.5833333333334
6.97403097,29.417,50.5833333333334
6.88111448,29.583,50.5833333333334
6.99791670,29.750,50.5833333333334
7.22055244,29.917,50.5833333333334
7.31388521,30.083,50.5833333333334
7.57844782,30.250,50.5833333333334
7.65190649,30.417,50.5833333333334
7.88824987,30.583,50.5833333333334
7.64488554,30.750,50.5833333333334
7.53523970,30.917,50.5833333333334
7.45625019,31.083,50.5833333333334
7.34305191,31.250,50.5833333333334
7.24480200,31.417,50.5833333333334
7.15835428,31.583,50.5833333333334
7.10413551,31.750,50.5833333333334
7.06116676,31.917,50.5833333333334
7.04802084,32.083,50.5833333333334
7.04584360,32.250,50.5833333333334
7.04359388,32.417,50.5833333333334
6.98520803,32.583,50.5833333333334
7.08021879,32.750,50.5833333333334
7.04410410,32.917,50.5833333333334
6.99268770,33.083,50.5833333333334
6.98504162,33.250,50.5833333333334
6.99692726,33.417,50.5833333333334
6.89082289,33.583,50.5833333333334
6.88439560,33.750,50.5833333333334
6.83774996,33.917,50.5833333333334
6.84172916,34.083,50.5833333333334
6.80514574,34.250,50.5833333333334
6.86983347,34.417,50.5833333333334
6.80231237,34.583,50.5833333333334
6.60613537,34.750,50.5833333333334
6.60656261,34.917,50.5833333333334
6.50603104,35.083,50.5833333333334
6.52411461,35.250,50.5833333333334
6.52689600,35.417,50.5833333333334
6.61569786,35.583,50.5833333333334
6.62520838,35.750,50.5833333333334
6.71362495,35.917,50.5833333333334
6.76191664,36.083,50.5833333333334
6.76919794,36.250,50.5833333333334
6.40585423,37.250,50.5833333333334
6.34752083,37.417,50.5833333333334
6.27104187,37.583,50.5833333333334
6.95844793,23.583,50.4166666666667
7.11262512,23.750,50.4166666666667
7.20012474,23.917,50.4166666666667
7.26917696,24.083,50.4166666666667
7.43166685,24.250,50.4166666666667
7.32902098,24.417,50.4166666666667
7.23359346,24.583,50.4166666666667
7.23941660,24.750,50.4166666666667
7.23604155,24.917,50.4166666666667
7.31961489,25.083,50.4166666666667
7.48348951,25.250,50.4166666666667
7.58845854,25.417,50.4166666666667
7.74477100,25.583,50.4166666666667
7.89969778,25.750,50.4166666666667
7.59327078,25.917,50.4166666666667
7.44219780,26.083,50.4166666666667
7.40877104,26.250,50.4166666666667
7.38287497,26.417,50.4166666666667
7.47289562,26.583,50.4166666666667
7.18778133,26.750,50.4166666666667
7.11736441,26.917,50.4166666666667
6.99513531,27.083,50.4166666666667
6.85375023,27.250,50.4166666666667
6.76920843,27.417,50.4166666666667
6.68401051,27.583,50.4166666666667
6.68834352,27.750,50.4166666666667
6.59215641,27.917,50.4166666666667
6.65072918,28.083,50.4166666666667
6.68490648,28.250,50.4166666666667
6.75691652,28.417,50.4166666666667
6.82716656,28.583,50.4166666666667
6.89836454,28.750,50.4166666666667
6.98247910,28.917,50.4166666666667
7.04041672,29.083,50.4166666666667
7.05589581,29.250,50.4166666666667
7.00176048,29.417,50.4166666666667
6.99218750,29.583,50.4166666666667
7.13091660,29.750,50.4166666666667
7.21899986,29.917,50.4166666666667
7.40559387,30.083,50.4166666666667
7.64609385,30.250,50.4166666666667
7.88787508,30.417,50.4166666666667
8.19019794,30.583,50.4166666666667
7.81460428,30.750,50.4166666666667
7.69721889,30.917,50.4166666666667
7.62360430,31.083,50.4166666666667
7.51997900,31.250,50.4166666666667
7.41329145,31.417,50.4166666666667
7.26497936,31.583,50.4166666666667
7.16568756,31.750,50.4166666666667
7.14543724,31.917,50.4166666666667
7.15322924,32.083,50.4166666666667
7.17115641,32.250,50.4166666666667
7.22127104,32.417,50.4166666666667
7.18494797,32.583,50.4166666666667
7.14640617,32.750,50.4166666666667
7.16983318,32.917,50.4166666666667
7.17630196,33.083,50.4166666666667
7.21144772,33.250,50.4166666666667
7.19720840,33.417,50.4166666666667
7.05108309,33.583,50.4166666666667
7.02921867,33.750,50.4166666666667
6.98514605,33.917,50.4166666666667
6.96411467,34.083,50.4166666666667
6.95377064,34.250,50.4166666666667
6.87758303,34.417,50.4166666666667
6.80895853,34.583,50.4166666666667
6.66706228,34.750,50.4166666666667
6.73685408,34.917,50.4166666666667
6.71969795,35.083,50.4166666666667
6.73043728,35.250,50.4166666666667
6.77463531,35.417,50.4166666666667
6.73481226,35.583,50.4166666666667
6.76120853,35.750,50.4166666666667
6.79686451,35.917,50.4166666666667
6.87459373,36.083,50.4166666666667
6.91482306,36.250,50.4166666666667
6.93209362,36.417,50.4166666666667
6.97639608,36.583,50.4166666666667
6.97723961,36.750,50.4166666666667
6.88912487,36.917,50.4166666666667
6.66990614,37.083,50.4166666666667
6.52325010,37.250,50.4166666666667
6.44829178,37.417,50.4166666666667
6.44732285,37.583,50.4166666666667
6.57083321,37.750,50.4166666666667
7.29266644,23.250,50.25
6.81512499,23.417,50.25
6.84804153,23.583,50.25
7.10503101,23.750,50.25
7.26357269,23.917,50.25
7.33755207,24.083,50.25
7.40673971,24.250,50.25
7.38251019,24.417,50.25
7.27142715,24.583,50.25
7.20055199,24.750,50.25
7.17560434,24.917,50.25
7.19630241,25.083,50.25
7.33970833,25.250,50.25
7.60242701,25.417,50.25
7.92911482,25.583,50.25
8.08952045,25.750,50.25
7.71414614,25.917,50.25
7.48472929,26.083,50.25
7.45853138,26.250,50.25
7.45778131,26.417,50.25
7.50112486,26.583,50.25
7.26263523,26.750,50.25
7.19754171,26.917,50.25
7.01775026,27.083,50.25
6.82916689,27.250,50.25
6.74326038,27.417,50.25
6.75560427,27.583,50.25
6.75242710,27.750,50.25
6.65189600,27.917,50.25
6.70462465,28.083,50.25
6.79687500,28.250,50.25
6.87044811,28.417,50.25
7.08274984,28.583,50.25
7.13562489,28.750,50.25
7.07495832,28.917,50.25
7.06085396,29.083,50.25
7.06951046,29.250,50.25
7.12712526,29.417,50.25
7.19515610,29.583,50.25
7.26505232,29.750,50.25
7.44107294,29.917,50.25
7.54234362,30.083,50.25
7.61771870,30.250,50.25
7.66979170,30.417,50.25
7.96296883,30.583,50.25
7.99628115,30.750,50.25
7.81552076,30.917,50.25
7.70537519,31.083,50.25
7.62488556,31.250,50.25
7.51094818,31.417,50.25
7.37414598,31.583,50.25
7.26496887,31.750,50.25
7.23464584,31.917,50.25
7.28276014,32.083,50.25
7.32522917,32.250,50.25
7.39827108,32.417,50.25
7.41551065,32.583,50.25
7.36883354,32.750,50.25
7.38342714,32.917,50.25
7.40991640,33.083,50.25
7.45257282,33.250,50.25
7.37394762,33.417,50.25
7.24044800,33.583,50.25
7.18312502,33.750,50.25
7.15356255,33.917,50.25
7.14939594,34.083,50.25
6.97692680,34.250,50.25
7.01762486,34.417,50.25
6.86967707,34.583,50.25
6.85795832,34.750,50.25
6.95411444,34.917,50.25
6.79520845,35.083,50.25
6.73312521,35.250,50.25
6.67827082,35.417,50.25
6.66200018,35.583,50.25
6.74769783,35.750,50.25
6.97298956,35.917,50.25
7.09990644,36.083,50.25
7.10138559,36.250,50.25
7.09527111,36.417,50.25
7.00306273,36.583,50.25
6.88171864,36.750,50.25
6.96363544,36.917,50.25
6.78913546,37.083,50.25
6.55971861,37.250,50.25
