latitude,longitude,scientific_name
48.3890996,24.4401009,Salamandra salamandra
48.5294799805,23.6392021179,Salamandra salamandra
49.0322923472,23.5617889836,Salamandra salamandra
48.7160111111,23.3534444444,Salamandra salamandra
49.0333432413,23.562323453,Salamandra salamandra
48.3500804924,24.5181758702,Salamandra salamandra
48.321466,24.94094,Salamandra salamandra
48.011587,25.285229,Salamandra salamandra
48.61219306,24.29618523,Salamandra salamandra
48.5839188513,24.1560582955,Salamandra salamandra
48.5820986,24.1302154997,Salamandra salamandra
48.3243163453,25.0524811296,Salamandra salamandra
48.5338283333,22.8751966667,Salamandra salamandra
48.9013459722,23.9815739722,Salamandra salamandra
48.4208805556,24.5098083333,Salamandra salamandra
48.0326145111,23.0911230725,Salamandra salamandra
48.36119,24.5135733333,Salamandra salamandra
48.3565673828,24.4060516357,Salamandra salamandra
49.0624313322,23.4510646373,Salamandra salamandra
48.514395,23.4805166667,Salamandra salamandra
48.1362565032,25.3343823952,Salamandra salamandra
48.44622,24.5684916667,Salamandra salamandra
48.6951783333,23.679505,Salamandra salamandra
49.0339778333,23.57235,Salamandra salamandra
48.4208305556,24.5271722222,Salamandra salamandra
48.4214055556,24.5277055556,Salamandra salamandra
49.0338048596,23.5849319862,Salamandra salamandra
48.5827777778,23.1405916667,Salamandra salamandra
48.6684678926,22.9075512663,Salamandra salamandra
48.679744729,22.4066611379,Salamandra salamandra
49.0203622739,23.5116370288,Salamandra salamandra
48.25640763,23.67772095,Salamandra salamandra
48.8871361117,23.568755555,Salamandra salamandra
48.413621057,24.5317361842,Salamandra salamandra
48.4201083333,24.5948138889,Salamandra salamandra
48.3638416667,24.6426277778,Salamandra salamandra
47.9354534503,24.2822219536,Salamandra salamandra
48.1785466667,25.2252716667,Salamandra salamandra
48.395533,23.809067,Salamandra salamandra
48.3919222222,24.6437722222,Salamandra salamandra
48.7604515365,22.7763158567,Salamandra salamandra
49.0232195,23.5093783333,Salamandra salamandra
48.3993308,23.6646037,Salamandra salamandra
48.1946456,24.6898649,Salamandra salamandra
49.2447783333,23.3530366667,Salamandra salamandra
49.20317,23.238205,Salamandra salamandra
48.691433801,22.4390244603,Salamandra salamandra
48.3903366667,23.1358945,Salamandra salamandra
48.5785446111,22.8651084722,Salamandra salamandra
48.0109277833,23.057025,Salamandra salamandra
49.0306443423,23.6954397708,Salamandra salamandra
48.4652611111,22.9021055556,Salamandra salamandra
48.4650944444,22.9021638889,Salamandra salamandra
48.4651111111,22.9021472222,Salamandra salamandra
48.4649944444,22.9017972222,Salamandra salamandra
48.4658194444,22.9043027778,Salamandra salamandra
48.4658555556,22.9043388889,Salamandra salamandra
48.3493,24.557905,Salamandra salamandra
48.6597862244,22.6446971893,Salamandra salamandra
47.9693766255,24.0220434535,Salamandra salamandra
49.2106224396,23.2636969838,Salamandra salamandra
48.4390616667,24.5230383333,Salamandra salamandra
48.4209283333,24.52557,Salamandra salamandra
48.1099361667,25.1253888333,Salamandra salamandra carpathica
48.6257783333,22.4244833333,Salamandra salamandra
48.6760133333,22.44038,Salamandra salamandra
48.1652188829,25.161129199,Salamandra salamandra
48.6238716667,22.413075,Salamandra salamandra
48.1879116667,25.18205,Salamandra salamandra
48.8102333333,22.7152033333,Salamandra salamandra
48.4041133333,23.0763833333,Salamandra salamandra
48.1879116667,25.18205,Salamandra salamandra
48.2067132997,25.1733249,Salamandra salamandra
48.2067054433,25.1733162756,Salamandra salamandra
48.0991221667,24.67208,Salamandra salamandra
48.0991361667,24.672025,Salamandra salamandra
48.0992083333,24.67305,Salamandra salamandra
48.0995166667,24.67317,Salamandra salamandra
48.2075517169,24.9647319043,Salamandra salamandra
48.8328829278,22.9359339833,Salamandra salamandra
48.8190901278,22.9386415056,Salamandra salamandra
48.0997583333,24.671945,Salamandra salamandra
48.41666,24.4197769722,Salamandra salamandra
48.797385,22.9663016667,Salamandra salamandra
48.797985,22.95488,Salamandra salamandra
48.7975513609,22.9619751312,Salamandra salamandra
48.7978559174,22.9586669616,Salamandra salamandra
48.7978917081,22.9559385683,Salamandra salamandra
48.7979102321,22.952078199,Salamandra salamandra
48.0975611667,24.7030633333,Salamandra salamandra
